scorer,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000
bodyparts,Eye,Eye,Eye,Snout,Snout,Snout,Whisker,Whisker,Whisker,Right_Forepaw,Right_Forepaw,Right_Forepaw,Left_Forepaw,Left_Forepaw,Left_Forepaw
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,329.9263916,27.8842411,0.999991536,433.3431702,75.30117035,0.999977589,358.7167358,112.7359924,0.999993205,249.2017822,268.5295105,0.99999547,342.8443604,236.738739,0.99992907
1,330.5809021,27.73884773,0.999990344,433.0420532,76.4866333,0.999964237,361.6546631,114.8191299,0.999983668,249.0204468,268.5567932,0.999995112,344.0906372,236.5879517,0.999914646
2,330.0584106,27.61908722,0.999992251,433.1068115,75.13031006,0.999964237,361.0477295,110.5365143,0.999929547,248.45755,267.0594482,0.999995828,345.2824097,233.6064758,0.999738753
3,329.8830872,27.99126816,0.999991179,432.8058167,73.07611084,0.999901533,358.0683899,107.9730911,0.999971151,247.3222504,267.0106506,0.999997497,342.0047302,233.5644989,0.999866128
4,330.6451721,26.86178589,0.999986529,434.0379944,76.93084717,0.999962687,367.7178955,113.5231552,0.998782218,244.299942,265.8625183,0.99999702,337.3782043,231.3471527,0.999899268
5,330.6327515,27.8732338,0.999991298,432.4972534,74.75200653,0.999948502,361.3753662,110.7117233,0.999935985,245.7142944,266.2736206,0.99999845,337.1569824,233.3035583,0.999933958
6,330.4689331,28.68175507,0.999990344,433.1699829,73.35211182,0.999927998,359.0857544,111.9840698,0.999976397,244.986969,266.2026978,0.999998093,334.3818665,235.1773071,0.999911904
7,330.6400757,28.17831993,0.99998796,433.0942078,75.79398346,0.99995482,363.6598816,115.5300217,0.999989629,245.0321198,266.4424438,0.999998212,332.5851746,235.0239716,0.99986124
8,330.4674072,29.23361206,0.999988437,431.7046509,69.65198517,0.999955893,357.3339233,112.5833206,0.999991179,244.2986145,266.5276489,0.999998689,331.4395752,234.0496979,0.999864936
9,330.3995056,28.73573112,0.999988437,433.0166931,69.31115723,0.999971032,356.6445313,110.1585236,0.999980211,244.0871735,266.8186035,0.999998569,332.3742371,234.674469,0.999895215
10,331.1179199,28.64624786,0.999990344,433.0678101,73.23832703,0.99994278,361.9799194,110.7692413,0.999412656,244.548233,266.797821,0.999998569,332.065094,234.4878235,0.999891281
11,331.4164734,30.3757267,0.999991298,432.5189514,68.54336548,0.99997282,357.0153503,104.7271881,0.999928236,244.1057892,266.8694458,0.999998689,332.3788757,234.4248962,0.999913931
12,330.8197937,29.11418152,0.999989152,432.9943542,73.88509369,0.999956489,360.7606506,112.7765808,0.999978423,243.7817688,266.8670959,0.99999845,332.0462341,234.6219177,0.999915719
13,330.4327087,28.94599152,0.99998951,432.6971741,73.26353455,0.999925375,356.3587646,110.0358276,0.999983191,243.9307556,266.5276794,0.999998927,331.4262085,233.709549,0.999929786
